customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
CUST000190,21,2,475.95000000000005,5,2,2,Needs Attention
CUST000191,309,4,1995.0,2,4,4,At Risk
CUST000193,22,1,751.45,5,1,2,Needs Attention
CUST000195,18,1,81.69,5,1,1,Needs Attention
CUST000197,15,6,3579.83,5,5,5,Champion
CUST000198,536,2,130.99,1,2,1,Lost
CUST000200,1,5,3437.5,5,4,5,Champion
CUST000201,79,3,760.51,4,3,2,Loyal Customer
CUST000202,108,5,2260.77,3,4,4,Loyal Customer
CUST000203,392,1,155.06,1,1,1,Lost
CUST000204,22,1,1059.4,5,1,3,Needs Attention
CUST000206,638,1,925.67,1,1,3,Lost
CUST000207,193,2,1282.74,3,2,3,Needs Attention
CUST000208,19,1,1451.43,5,1,3,Needs Attention
CUST000209,305,1,701.02,2,1,2,Lost
CUST000212,55,4,2223.01,4,4,4,Champion
CUST000216,19,33,15985.19,5,5,5,Champion
CUST000219,228,4,2535.57,2,4,4,At Risk
CUST000220,84,2,852.13,4,2,2,Needs Attention
CUST000221,218,3,1577.9,2,3,4,At Risk
CUST000222,551,2,1265.8000000000002,1,2,3,Lost
CUST000223,14,6,3402.9,5,5,5,Champion
CUST000224,160,5,2786.23,3,4,4,Loyal Customer
CUST000226,393,1,543.09,1,1,2,Lost
CUST000227,12,5,3119.66,5,4,5,Champion
CUST000228,80,1,813.21,4,1,2,Needs Attention
CUST000229,71,2,667.75,4,2,2,Needs Attention
CUST000230,77,1,631.92,4,1,2,Needs Attention
CUST000231,866,1,71.9,1,1,1,Lost
CUST000233,321,1,1696.66,2,1,4,Lost
CUST000234,115,1,155.37,3,1,1,Needs Attention
CUST000236,203,1,1174.54,3,1,3,Needs Attention
CUST000237,383,2,1585.25,2,2,4,Lost
CUST000240,269,4,3095.6800000000003,2,4,5,At Risk
CUST000241,909,1,660.51,1,1,2,Lost
CUST000243,278,4,1356.1399999999999,2,4,3,At Risk
CUST000244,147,3,2626.79,3,3,4,Loyal Customer
CUST000246,247,1,832.02,2,1,2,Lost
CUST000248,148,6,2342.02,3,5,4,Loyal Customer
CUST000249,185,1,606.06,3,1,2,Needs Attention
CUST000250,55,3,2138.4,4,3,4,Loyal Customer
CUST000251,451,1,663.37,1,1,2,Lost
CUST000255,174,1,280.51,3,1,1,Needs Attention
CUST000256,82,3,2109.13,4,3,4,Loyal Customer
CUST000257,275,2,390.08,2,2,1,Lost
CUST000259,92,1,971.89,4,1,3,Needs Attention
CUST000261,22,8,5381.88,5,5,5,Champion
CUST000262,60,1,962.56,4,1,3,Needs Attention
CUST000263,247,4,2904.68,2,4,5,At Risk
CUST000264,717,1,32.35,1,1,1,Lost
CUST000265,726,1,350.37,1,1,1,Lost
CUST000267,4,57,28398.5,5,5,5,Champion
CUST000268,17,3,573.16,5,3,2,Loyal Customer
CUST000269,437,2,1145.16,1,2,3,Lost
CUST000270,258,2,332.06,2,2,1,Lost
CUST000271,44,3,887.33,4,3,3,Loyal Customer
CUST000274,167,1,637.81,3,1,2,Needs Attention
CUST000277,326,1,369.93,2,1,1,Lost
CUST000278,309,3,280.57,2,3,1,At Risk
CUST000279,208,2,719.1600000000001,2,2,2,Lost
CUST000282,37,1,498.21,5,1,2,Needs Attention
CUST000283,32,7,4419.150000000001,5,5,5,Champion
CUST000284,57,11,4735.72,4,5,5,Champion
CUST000285,256,5,998.44,2,4,3,At Risk
CUST000286,48,3,606.37,4,3,2,Loyal Customer
CUST000287,796,1,844.24,1,1,2,Lost
CUST000289,599,1,507.69,1,1,2,Lost
CUST000293,437,1,667.32,1,1,2,Lost
CUST000295,60,6,3504.52,4,5,5,Champion
CUST000296,19,1,613.85,5,1,2,Needs Attention
CUST000297,88,7,3212.5499999999997,4,5,5,Champion
CUST000298,11,7,3023.3999999999996,5,5,5,Champion
CUST000299,346,1,93.24,2,1,1,Lost
CUST000300,185,1,1206.18,3,1,3,Needs Attention
CUST000302,161,1,312.46,3,1,1,Needs Attention
CUST000304,43,5,4472.639999999999,4,4,5,Champion
CUST000306,235,2,2562.15,2,2,4,Lost
CUST000307,16,26,15939.16,5,5,5,Champion
CUST000308,250,1,68.22,2,1,1,Lost
CUST000310,38,4,2070.4,5,4,4,Champion
CUST000313,347,1,770.22,2,1,2,Lost
CUST000315,2,5,4500.85,5,4,5,Champion
CUST000317,30,3,1644.76,5,3,4,Loyal Customer
CUST000321,315,1,307.14,2,1,1,Lost
CUST000323,319,2,1084.66,2,2,3,Lost
CUST000324,13,22,11607.07,5,5,5,Champion
CUST000325,45,1,147.8,4,1,1,Needs Attention
CUST000328,542,2,1553.6399999999999,1,2,3,Lost
CUST000329,201,1,831.06,3,1,2,Needs Attention
CUST000330,415,1,306.14,1,1,1,Lost
CUST000331,804,1,196.75,1,1,1,Lost
CUST000333,761,1,130.22,1,1,1,Lost
CUST000337,478,1,784.68,1,1,2,Lost
CUST000338,56,2,546.99,4,2,2,Needs Attention
CUST000342,1,28,12724.09,5,5,5,Champion
CUST000345,258,1,148.36,2,1,1,Lost
CUST000346,78,3,984.19,4,3,3,Loyal Customer
CUST000347,521,1,356.28,1,1,1,Lost
CUST000348,262,2,815.1700000000001,2,2,2,Lost
CUST000351,747,1,836.25,1,1,2,Lost
CUST000353,684,2,3855.3999999999996,1,2,5,Lost
CUST000354,60,2,441.53999999999996,4,2,2,Needs Attention
CUST000355,76,4,1154.52,4,4,3,Loyal Customer
CUST000358,116,6,4865.97,3,5,5,Loyal Customer
CUST000359,60,3,875.26,4,3,3,Loyal Customer
CUST000361,42,1,1513.59,4,1,3,Needs Attention
CUST000362,1,10,7609.68,5,5,5,Champion
CUST000364,96,2,1045.46,4,2,3,Needs Attention
CUST000365,95,2,1281.44,4,2,3,Needs Attention
CUST000369,227,1,15.51,2,1,1,Lost
CUST000370,267,3,998.06,2,3,3,At Risk
CUST000371,246,1,201.49,2,1,1,Lost
CUST000372,434,3,914.63,1,3,3,At Risk
CUST000373,120,1,541.89,3,1,2,Needs Attention
CUST000376,45,9,5699.06,4,5,5,Champion
CUST000377,114,2,1040.6200000000001,3,2,3,Needs Attention
CUST000379,8,41,19007.39,5,5,5,Champion
CUST000381,167,4,2279.4900000000002,3,4,4,Loyal Customer
CUST000382,313,2,411.64,2,2,1,Lost
CUST000383,90,1,521.14,4,1,2,Needs Attention
CUST000385,50,15,5786.5,4,5,5,Champion
CUST000386,1013,1,1332.89,1,1,3,Lost
CUST000388,150,2,818.65,3,2,2,Needs Attention
CUST000389,31,3,1400.1,5,3,3,Loyal Customer
CUST000390,327,3,1234.85,2,3,3,At Risk
CUST000391,7,14,9854.68,5,5,5,Champion
CUST000392,172,4,1755.6599999999999,3,4,4,Loyal Customer
CUST000393,262,9,4197.63,2,5,5,At Risk
CUST000395,227,2,471.53999999999996,2,2,2,Lost
CUST000398,393,3,2561.58,1,3,4,At Risk
CUST000399,644,1,413.43,1,1,1,Lost
CUST000400,111,4,488.04,3,4,2,Loyal Customer
CUST000401,107,1,834.57,3,1,2,Needs Attention
CUST000402,121,5,3802.16,3,4,5,Loyal Customer
CUST000405,123,2,261.67,3,2,1,Needs Attention
CUST000408,76,10,6341.73,4,5,5,Champion
CUST000409,661,1,114.66,1,1,1,Lost
CUST000410,917,1,1664.64,1,1,4,Lost
CUST000414,65,5,3160.84,4,4,5,Champion
CUST000415,525,1,869.87,1,1,2,Lost
CUST000416,826,1,129.24,1,1,1,Lost
CUST000418,741,1,220.05,1,1,1,Lost
CUST000419,23,1,164.68,5,1,1,Needs Attention
CUST000420,116,1,1131.18,3,1,3,Needs Attention
CUST000421,138,3,1247.04,3,3,3,Loyal Customer
CUST000422,303,1,178.93,2,1,1,Lost
CUST000423,711,1,170.19,1,1,1,Lost
CUST000424,219,1,749.22,2,1,2,Lost
CUST000425,232,4,2290.87,2,4,4,At Risk
CUST000426,556,1,332.42,1,1,1,Lost
CUST000431,5,24,10128.32,5,5,5,Champion
CUST000433,86,3,782.9599999999999,4,3,2,Loyal Customer
CUST000435,554,1,1352.58,1,1,3,Lost
CUST000436,51,11,9907.17,4,5,5,Champion
CUST000438,333,1,354.15,2,1,1,Lost
CUST000439,87,9,6352.63,4,5,5,Champion
CUST000440,57,14,5815.95,4,5,5,Champion
CUST000441,87,3,1890.1699999999998,4,3,4,Loyal Customer
CUST000442,24,5,1769.0900000000001,5,4,4,Champion
CUST000443,589,1,20.34,1,1,1,Lost
CUST000445,302,3,928.6600000000001,2,3,3,At Risk
CUST000446,45,14,7039.38,4,5,5,Champion
CUST000448,45,2,753.54,4,2,2,Needs Attention
CUST000449,301,1,428.86,2,1,1,Lost
CUST000450,214,4,2206.85,2,4,4,At Risk
CUST000452,4,5,1873.21,5,4,4,Champion
CUST000454,105,3,920.13,3,3,3,Loyal Customer
CUST000457,392,1,310.77,1,1,1,Lost
CUST000458,52,2,1934.67,4,2,4,Needs Attention
CUST000460,165,1,1283.01,3,1,3,Needs Attention
CUST000463,118,9,4867.82,3,5,5,Loyal Customer
CUST000464,75,7,5305.88,4,5,5,Champion
CUST000465,139,5,3431.0599999999995,3,4,5,Loyal Customer
CUST000467,259,2,1996.44,2,2,4,Lost
CUST000468,769,1,164.68,1,1,1,Lost
CUST000469,13,2,1539.06,5,2,3,Needs Attention
CUST000470,331,1,184.83,2,1,1,Lost
CUST000471,106,3,780.87,3,3,2,Loyal Customer
CUST000472,623,1,712.51,1,1,2,Lost
CUST000474,47,2,1254.56,4,2,3,Needs Attention
CUST000475,17,4,1805.93,5,4,4,Champion
CUST000478,21,5,2977.7799999999997,5,4,5,Champion
CUST000479,235,1,799.33,2,1,2,Lost
CUST000481,422,1,446.89,1,1,2,Lost
CUST000482,331,1,126.9,2,1,1,Lost
CUST000483,202,1,460.51,3,1,2,Needs Attention
CUST000484,3,1,206.46,5,1,1,Needs Attention
CUST000485,788,1,1233.3,1,1,3,Lost
CUST000486,134,6,3355.3599999999997,3,5,5,Loyal Customer
CUST000489,47,15,7381.64,4,5,5,Champion
CUST000491,67,11,5661.22,4,5,5,Champion
CUST000492,351,3,1483.6100000000001,2,3,3,At Risk
CUST000495,36,2,327.42,5,2,1,Needs Attention
CUST000496,55,8,6421.969999999999,4,5,5,Champion
CUST000498,163,3,481.49,3,3,2,Loyal Customer
CUST000500,746,1,346.51,1,1,1,Lost
CUST000503,3,26,19507.71,5,5,5,Champion
CUST000506,417,1,737.17,1,1,2,Lost
CUST000507,343,4,2158.83,2,4,4,At Risk
CUST000511,143,1,344.6,3,1,1,Needs Attention
CUST000513,297,2,1654.04,2,2,4,Lost
CUST000515,809,1,540.5,1,1,2,Lost
CUST000516,121,10,4746.99,3,5,5,Loyal Customer
CUST000517,739,1,408.37,1,1,1,Lost
CUST000518,18,8,2354.12,5,5,4,Champion
CUST000519,106,1,653.96,3,1,2,Needs Attention
CUST000520,127,5,2604.59,3,4,4,Loyal Customer
CUST000522,296,1,172.61,2,1,1,Lost
CUST000523,14,5,6151.67,5,4,5,Champion
CUST000525,334,1,34.72,2,1,1,Lost
CUST000526,201,4,2806.96,3,4,4,Loyal Customer
CUST000527,491,1,974.41,1,1,3,Lost
CUST000528,235,4,2228.29,2,4,4,At Risk
CUST000531,27,9,5148.639999999999,5,5,5,Champion
CUST000533,33,5,3324.62,5,4,5,Champion
CUST000537,616,1,1469.58,1,1,3,Lost
CUST000538,51,2,1397.45,4,2,3,Needs Attention
CUST000543,370,1,548.53,2,1,2,Lost
CUST000544,185,4,1594.47,3,4,4,Loyal Customer
CUST000545,1010,1,418.56,1,1,1,Lost
CUST000546,834,1,1629.82,1,1,4,Lost
CUST000547,168,9,5561.91,3,5,5,Loyal Customer
CUST000549,86,11,7580.57,4,5,5,Champion
CUST000552,260,1,337.24,2,1,1,Lost
CUST000553,863,1,516.77,1,1,2,Lost
CUST000554,92,3,1572.0700000000002,4,3,4,Loyal Customer
CUST000556,93,6,3275.11,4,5,5,Champion
CUST000557,497,1,543.88,1,1,2,Lost
CUST000560,295,3,1143.1599999999999,2,3,3,At Risk
CUST000563,499,3,1043.74,1,3,3,At Risk
CUST000564,8,15,6030.9,5,5,5,Champion
CUST000566,82,5,4279.599999999999,4,4,5,Champion
CUST000567,205,2,1069.45,2,2,3,Lost
CUST000568,14,10,5805.570000000001,5,5,5,Champion
CUST000569,113,1,289.05,3,1,1,Needs Attention
CUST000570,108,7,5214.98,3,5,5,Loyal Customer
CUST000571,141,7,4341.58,3,5,5,Loyal Customer
CUST000574,212,1,342.5,2,1,1,Lost
CUST000576,17,1,339.28,5,1,1,Needs Attention
CUST000577,64,9,3351.11,4,5,5,Champion
CUST000580,906,1,308.24,1,1,1,Lost
CUST000581,689,1,221.53,1,1,1,Lost
CUST000582,354,1,828.93,2,1,2,Lost
CUST000584,507,2,664.87,1,2,2,Lost
CUST000585,117,5,3388.73,3,4,5,Loyal Customer
CUST000586,116,3,2463.35,3,3,4,Loyal Customer
CUST000587,118,3,800.6999999999999,3,3,2,Loyal Customer
CUST000589,23,2,2750.27,5,2,4,Needs Attention
CUST000592,975,1,476.84,1,1,2,Lost
CUST000593,32,2,1008.8600000000001,5,2,3,Needs Attention
CUST000596,221,3,1145.02,2,3,3,At Risk
CUST000597,371,1,646.44,2,1,2,Lost
CUST000598,114,4,2278.5699999999997,3,4,4,Loyal Customer
CUST000599,214,2,1470.8000000000002,2,2,3,Lost
CUST000600,23,5,3236.2799999999997,5,4,5,Champion
CUST000602,373,2,1702.26,2,2,4,Lost
CUST000604,41,8,5650.780000000001,4,5,5,Champion
CUST000609,848,1,1182.03,1,1,3,Lost
CUST000610,327,6,4142.05,2,5,5,At Risk
CUST000615,261,7,3550.97,2,5,5,At Risk
CUST000616,236,8,5430.700000000001,2,5,5,At Risk
CUST000617,173,1,305.15,3,1,1,Needs Attention
CUST000618,561,1,155.29,1,1,1,Lost
CUST000619,36,6,3933.27,5,5,5,Champion
CUST000622,196,2,569.76,3,2,2,Needs Attention
CUST000623,79,2,1006.65,4,2,3,Needs Attention
CUST000624,17,1,1032.91,5,1,3,Needs Attention
CUST000626,5,6,3224.6499999999996,5,5,5,Champion
CUST000629,224,2,1799.4399999999998,2,2,4,Lost
CUST000630,93,4,2585.7799999999997,4,4,4,Champion
CUST000631,209,1,494.31,2,1,2,Lost
CUST000632,397,1,890.0,1,1,3,Lost
CUST000633,159,2,2789.09,3,2,4,Needs Attention
CUST000634,35,1,877.4,5,1,3,Needs Attention
CUST000635,90,2,513.48,4,2,2,Needs Attention
CUST000636,7,3,2919.46,5,3,5,Loyal Customer
CUST000640,484,1,1960.18,1,1,4,Lost
CUST000641,247,1,2151.18,2,1,4,Lost
CUST000642,97,3,2850.05,4,3,4,Loyal Customer
CUST000643,604,1,459.09,1,1,2,Lost
CUST000644,650,2,645.5600000000001,1,2,2,Lost
CUST000645,43,1,233.62,4,1,1,Needs Attention
CUST000647,126,3,1543.45,3,3,3,Loyal Customer
CUST000648,165,1,341.09,3,1,1,Needs Attention
CUST000649,111,1,601.85,3,1,2,Needs Attention
CUST000650,263,1,1534.93,2,1,3,Lost
CUST000652,194,3,848.29,3,3,2,Loyal Customer
CUST000654,98,1,1473.82,4,1,3,Needs Attention
CUST000656,4,9,4340.96,5,5,5,Champion
CUST000658,706,1,491.99,1,1,2,Lost
CUST000661,118,5,4375.219999999999,3,4,5,Loyal Customer
CUST000662,595,1,221.53,1,1,1,Lost
CUST000664,155,1,602.59,3,1,2,Needs Attention
CUST000666,166,3,1931.8,3,3,4,Loyal Customer
CUST000667,160,1,193.49,3,1,1,Needs Attention
CUST000669,36,3,834.3399999999999,5,3,2,Loyal Customer
CUST000670,167,1,76.2,3,1,1,Needs Attention
CUST000672,405,1,158.87,1,1,1,Lost
CUST000673,47,3,1150.15,4,3,3,Loyal Customer
CUST000674,23,2,1178.0500000000002,5,2,3,Needs Attention
CUST000676,12,1,237.65,5,1,1,Needs Attention
CUST000681,64,3,1043.98,4,3,3,Loyal Customer
CUST000682,358,1,298.93,2,1,1,Lost
CUST000685,177,4,1825.35,3,4,4,Loyal Customer
CUST000687,76,1,34.74,4,1,1,Needs Attention
CUST000692,401,2,461.19,1,2,2,Lost
CUST000693,69,2,1496.87,4,2,3,Needs Attention
CUST000694,501,1,79.68,1,1,1,Lost
CUST000697,135,1,889.54,3,1,3,Needs Attention
CUST000698,106,5,5076.7,3,4,5,Loyal Customer
CUST000699,148,3,800.36,3,3,2,Loyal Customer
CUST000700,1,14,6308.91,5,5,5,Champion
CUST000702,309,2,1547.4299999999998,2,2,3,Lost
CUST000706,122,1,346.92,3,1,1,Needs Attention
CUST000708,307,2,1036.59,2,2,3,Lost
CUST000709,193,9,2875.71,3,5,4,Loyal Customer
CUST000712,205,1,459.75,2,1,2,Lost
CUST000713,68,1,1235.13,4,1,3,Needs Attention
CUST000714,884,1,600.11,1,1,2,Lost
CUST000716,240,1,816.88,2,1,2,Lost
CUST000717,134,5,3642.82,3,4,5,Loyal Customer
CUST000718,140,1,439.5,3,1,2,Needs Attention
CUST000719,25,15,9340.97,5,5,5,Champion
CUST000720,1,3,2320.5299999999997,5,3,4,Loyal Customer
CUST000721,169,1,130.56,3,1,1,Needs Attention
CUST000722,24,4,4200.04,5,4,5,Champion
CUST000723,39,2,520.85,5,2,2,Needs Attention
CUST000725,3,1,414.24,5,1,1,Needs Attention
CUST000726,459,1,1630.66,1,1,4,Lost
CUST000730,64,3,978.39,4,3,3,Loyal Customer
CUST000731,595,1,1093.86,1,1,3,Lost
CUST000732,923,1,404.08,1,1,1,Lost
CUST000734,73,4,2045.94,4,4,4,Champion
CUST000735,88,2,496.42999999999995,4,2,2,Needs Attention
CUST000736,262,1,571.14,2,1,2,Lost
CUST000737,210,3,1615.54,2,3,4,At Risk
CUST000740,156,2,365.6,3,2,1,Needs Attention
CUST000741,475,1,735.82,1,1,2,Lost
CUST000742,196,2,1298.86,3,2,3,Needs Attention
CUST000743,22,5,1852.46,5,4,4,Champion
CUST000744,147,2,714.97,3,2,2,Needs Attention
CUST000746,28,7,3725.38,5,5,5,Champion
CUST000747,182,1,361.6,3,1,1,Needs Attention
CUST000748,594,1,36.49,1,1,1,Lost
CUST000749,449,1,490.68,1,1,2,Lost
CUST000752,90,1,462.96,4,1,2,Needs Attention
CUST000753,524,1,561.15,1,1,2,Lost
CUST000754,161,2,417.01,3,2,1,Needs Attention
CUST000755,539,1,775.86,1,1,2,Lost
CUST000757,140,4,3320.12,3,4,5,Loyal Customer
CUST000758,38,4,2755.3500000000004,5,4,4,Champion
CUST000759,219,3,1530.05,2,3,3,At Risk
CUST000760,239,2,582.41,2,2,2,Lost
CUST000761,259,1,1518.12,2,1,3,Lost
CUST000763,161,1,576.21,3,1,2,Needs Attention
CUST000764,86,3,1327.1000000000001,4,3,3,Loyal Customer
CUST000765,311,1,279.28,2,1,1,Lost
CUST000766,34,11,4576.41,5,5,5,Champion
CUST000767,372,1,710.44,2,1,2,Lost
CUST000768,507,1,320.28,1,1,1,Lost
CUST000769,421,1,1967.13,1,1,4,Lost
CUST000770,160,4,3834.73,3,4,5,Loyal Customer
CUST000771,68,5,1730.25,4,4,4,Champion
CUST000772,180,6,3802.33,3,5,5,Loyal Customer
CUST000775,64,4,1369.67,4,4,3,Loyal Customer
CUST000777,16,4,4477.46,5,4,5,Champion
CUST000779,310,2,1084.07,2,2,3,Lost
CUST000781,25,4,1678.9,5,4,4,Champion
CUST000783,83,6,3568.78,4,5,5,Champion
CUST000785,872,1,759.45,1,1,2,Lost
CUST000787,46,7,4163.69,4,5,5,Champion
CUST000788,434,1,1721.75,1,1,4,Lost
CUST000793,88,1,86.29,4,1,1,Needs Attention
CUST000794,32,3,1249.75,5,3,3,Loyal Customer
CUST000796,23,2,1048.99,5,2,3,Needs Attention
CUST000797,53,2,2140.73,4,2,4,Needs Attention
CUST000798,359,6,2356.01,2,5,4,At Risk
CUST000799,125,3,3272.32,3,3,5,Loyal Customer
CUST000801,141,2,1782.32,3,2,4,Needs Attention
CUST000803,486,1,646.38,1,1,2,Lost
CUST000804,302,3,1456.66,2,3,3,At Risk
CUST000805,80,4,3238.18,4,4,5,Champion
CUST000806,785,1,60.09,1,1,1,Lost
CUST000807,555,1,550.21,1,1,2,Lost
CUST000808,138,2,771.29,3,2,2,Needs Attention
CUST000810,161,1,546.22,3,1,2,Needs Attention
CUST000811,126,1,329.91,3,1,1,Needs Attention
CUST000813,729,2,524.88,1,2,2,Lost
CUST000814,73,4,1481.8400000000001,4,4,3,Loyal Customer
CUST000815,17,3,2016.48,5,3,4,Loyal Customer
CUST000816,255,2,1733.33,2,2,4,Lost
CUST000818,353,1,650.36,2,1,2,Lost
CUST000819,349,1,475.37,2,1,2,Lost
CUST000820,585,2,1616.3,1,2,4,Lost
CUST000822,285,1,498.92,2,1,2,Lost
CUST000824,142,1,305.5,3,1,1,Needs Attention
CUST000829,446,1,411.71,1,1,1,Lost
CUST000831,428,2,1899.19,1,2,4,Lost
CUST000832,101,1,539.62,4,1,2,Needs Attention
CUST000833,108,3,784.22,3,3,2,Loyal Customer
CUST000835,350,7,2959.23,2,5,5,At Risk
CUST000837,24,8,2425.71,5,5,4,Champion
CUST000838,23,1,222.9,5,1,1,Needs Attention
CUST000839,91,3,1580.16,4,3,4,Loyal Customer
CUST000840,471,2,1603.13,1,2,4,Lost
CUST000842,273,1,321.12,2,1,1,Lost
CUST000843,46,3,2497.95,4,3,4,Loyal Customer
CUST000845,26,2,854.95,5,2,2,Needs Attention
CUST000846,67,3,597.23,4,3,2,Loyal Customer
CUST000847,541,2,590.34,1,2,2,Lost
CUST000848,30,26,17032.28,5,5,5,Champion
