payment_id,order_id,payment_method,amount,payment_date
PAY0000336,ORD0000336,UPI/Pix,486.47,2026-01-04
PAY0000337,ORD0000337,Credit Card,782.59,2025-06-28
PAY0000338,ORD0000338,Credit Card,137.45,2025-01-06
PAY0000339,ORD0000339,UPI/Pix,1275.3,2024-07-24
PAY0000340,ORD0000340,Wallet,612.22,2026-06-15
PAY0000341,ORD0000341,Debit Card,458.38,2026-06-27
PAY0000342,ORD0000342,Credit Card,182.92,2025-09-06
PAY0000343,ORD0000343,Credit Card,492.23,2023-08-21
PAY0000344,ORD0000344,Credit Card,355.72,2024-10-24
PAY0000345,ORD0000345,Credit Card,440.58,2025-01-25
PAY0000346,ORD0000346,COD,455.54,2025-07-12
PAY0000347,ORD0000347,Wallet,346.92,2026-01-16
PAY0000348,ORD0000348,Credit Card,314.93,2025-02-20
PAY0000349,ORD0000349,Credit Card,53.4,2025-03-17
PAY0000351,ORD0000351,UPI/Pix,281.16,2025-09-24
PAY0000352,ORD0000352,Debit Card,1140.44,2025-04-13
PAY0000353,ORD0000353,Credit Card,48.23,2024-07-13
PAY0000354,ORD0000354,Credit Card,289.5,2025-07-16
PAY0000356,ORD0000356,Credit Card,325.84,2025-07-26
PAY0000357,ORD0000357,Credit Card,295.56,2026-01-18
PAY0000358,ORD0000358,UPI/Pix,293.05,2025-09-10
PAY0000359,ORD0000359,UPI/Pix,222.51,2025-07-15
PAY0000360,ORD0000360,Credit Card,326.97,2024-09-30
PAY0000361,ORD0000361,Wallet,1642.89,2025-05-22
PAY0000362,ORD0000362,Credit Card,143.92,2024-09-01
PAY0000363,ORD0000363,Debit Card,229.32,2024-05-23
PAY0000365,ORD0000365,UPI/Pix,92.28,2024-08-16
PAY0000366,ORD0000366,Credit Card,441.02,2023-11-23
PAY0000367,ORD0000367,Credit Card,1479.31,2026-03-30
PAY0000368,ORD0000368,Credit Card,464.45,2025-06-22
PAY0000370,ORD0000370,Credit Card,980.24,2024-06-30
PAY0000371,ORD0000371,COD,950.95,2026-04-16
PAY0000372,ORD0000372,Credit Card,259.24,2024-03-13
PAY0000373,ORD0000373,Credit Card,519.08,2025-12-28
PAY0000374,ORD0000374,COD,586.22,2026-03-30
PAY0000376,ORD0000376,Wallet,201.08,2024-12-04
PAY0000377,ORD0000377,COD,456.23,2025-09-26
PAY0000378,ORD0000378,Wallet,215.53,2024-12-26
PAY0000379,ORD0000379,Credit Card,1260.08,2025-10-02
PAY0000380,ORD0000380,Credit Card,574.35,2025-02-03
PAY0000381,ORD0000381,Debit Card,462.7,2026-03-31
PAY0000382,ORD0000382,Debit Card,298.15,2026-03-07
PAY0000383,ORD0000383,COD,78.32,2026-01-13
PAY0000385,ORD0000385,UPI/Pix,482.21,2026-02-08
PAY0000386,ORD0000386,Credit Card,258.19,2026-05-07
PAY0000387,ORD0000387,Credit Card,1868.12,2024-04-19
PAY0000388,ORD0000388,Wallet,466.05,2024-03-29
PAY0000389,ORD0000389,Credit Card,495.41,2024-07-24
PAY0000390,ORD0000390,Credit Card,566.51,2025-10-15
PAY0000392,ORD0000392,Wallet,900.32,2026-03-17
PAY0000393,ORD0000393,Credit Card,688.73,2024-08-05
PAY0000394,ORD0000394,Credit Card,143.3,2024-05-18
PAY0000395,ORD0000395,Credit Card,320.33,2025-06-20
PAY0000396,ORD0000396,Wallet,93.51,2026-01-03
PAY0000397,ORD0000397,Credit Card,519.63,2026-01-11
PAY0000398,ORD0000398,Wallet,226.07,2024-07-10
PAY0000399,ORD0000399,Debit Card,1376.56,2024-05-20
PAY0000400,ORD0000400,UPI/Pix,207.83,2023-08-05
PAY0000402,ORD0000402,Wallet,261.72,2026-05-18
PAY0000403,ORD0000403,Debit Card,469.77,2025-03-16
PAY0000404,ORD0000404,Credit Card,471.65,2024-09-02
PAY0000405,ORD0000405,Credit Card,528.58,2026-03-13
PAY0000406,ORD0000406,UPI/Pix,660.18,2026-01-13
PAY0000407,ORD0000407,Credit Card,320.33,2026-06-11
PAY0000408,ORD0000408,Wallet,537.72,2024-02-14
PAY0000409,ORD0000409,UPI/Pix,517.65,2024-08-14
PAY0000410,ORD0000410,Credit Card,657.17,2026-01-11
PAY0000411,ORD0000411,Credit Card,516.49,2025-03-19
PAY0000412,ORD0000412,Credit Card,513.48,2025-10-16
PAY0000414,ORD0000414,Credit Card,275.98,2024-08-28
PAY0000415,ORD0000415,Credit Card,410.74,2025-05-24
PAY0000416,ORD0000416,Credit Card,420.08,2024-03-11
PAY0000417,ORD0000417,Credit Card,35.97,2025-03-09
PAY0000419,ORD0000419,Credit Card,421.34,2024-08-27
PAY0000420,ORD0000420,Credit Card,360.26,2025-05-06
PAY0000421,ORD0000421,UPI/Pix,3036.92,2026-04-21
PAY0000422,ORD0000422,Credit Card,283.28,2026-01-14
PAY0000425,ORD0000425,Wallet,2990.29,2026-04-28
PAY0000426,ORD0000426,Debit Card,379.81,2026-05-08
PAY0000427,ORD0000427,Debit Card,492.49,2025-02-25
PAY0000428,ORD0000428,COD,239.06,2025-03-14
PAY0000429,ORD0000429,Credit Card,492.98,2025-12-11
PAY0000430,ORD0000430,Credit Card,1241.01,2025-03-14
PAY0000431,ORD0000431,Debit Card,119.51,2025-04-16
PAY0000433,ORD0000433,Debit Card,108.99,2024-04-28
PAY0000434,ORD0000434,Wallet,688.15,2025-06-28
PAY0000435,ORD0000435,Credit Card,158.35,2025-10-27
PAY0000436,ORD0000436,UPI/Pix,1022.2,2026-04-18
PAY0000437,ORD0000437,Credit Card,222.65,2026-03-24
PAY0000438,ORD0000438,Debit Card,708.63,2025-05-11
PAY0000439,ORD0000439,Credit Card,239.45,2026-06-19
PAY0000440,ORD0000440,UPI/Pix,169.22,2023-10-20
PAY0000442,ORD0000442,Debit Card,659.4,2025-11-20
PAY0000443,ORD0000443,Credit Card,677.67,2025-08-08
PAY0000444,ORD0000444,Credit Card,123.53,2025-01-31
PAY0000445,ORD0000445,Credit Card,137.25,2025-04-16
PAY0000447,ORD0000447,Credit Card,267.64,2026-03-31
PAY0000448,ORD0000448,Debit Card,317.63,2026-04-01
PAY0000449,ORD0000449,Credit Card,295.62,2024-12-10
PAY0000451,ORD0000451,COD,651.13,2026-06-26
PAY0000452,ORD0000452,Debit Card,10.37,2025-10-27
PAY0000453,ORD0000453,UPI/Pix,230.05,2025-12-07
PAY0000454,ORD0000454,Credit Card,387.32,2024-02-17
PAY0000455,ORD0000455,Credit Card,430.76,2025-12-08
PAY0000457,ORD0000457,COD,387.56,2025-11-28
PAY0000458,ORD0000458,Credit Card,445.3,2025-11-25
PAY0000459,ORD0000459,UPI/Pix,369.86,2024-10-25
PAY0000460,ORD0000460,Credit Card,396.34,2024-12-29
PAY0000461,ORD0000461,Debit Card,501.76,2024-10-20
PAY0000462,ORD0000462,Credit Card,1337.77,2023-08-19
PAY0000463,ORD0000463,Credit Card,251.49,2026-03-02
PAY0000465,ORD0000465,Debit Card,625.45,2025-09-10
PAY0000466,ORD0000466,UPI/Pix,1145.4,2024-05-02
PAY0000467,ORD0000467,Credit Card,1104.77,2025-09-23
PAY0000468,ORD0000468,Wallet,122.56,2025-07-26
PAY0000469,ORD0000469,Debit Card,56.07,2026-01-04
PAY0000471,ORD0000471,UPI/Pix,460.92,2026-03-28
PAY0000472,ORD0000472,COD,484.66,2025-05-15
PAY0000473,ORD0000473,Wallet,103.18,2026-02-26
PAY0000474,ORD0000474,UPI/Pix,11.76,2024-10-31
PAY0000475,ORD0000475,Credit Card,470.32,2024-06-22
PAY0000476,ORD0000476,Debit Card,245.52,2025-01-16
PAY0000479,ORD0000479,Credit Card,140.31,2025-11-19
PAY0000480,ORD0000480,Credit Card,1170.61,2023-10-06
PAY0000481,ORD0000481,Debit Card,1517.09,2026-01-25
PAY0000482,ORD0000482,Wallet,474.08,2023-09-05
PAY0000483,ORD0000483,Credit Card,223.39,2025-06-23
PAY0000484,ORD0000484,Credit Card,84.0,2024-11-01
PAY0000485,ORD0000485,Debit Card,423.5,2025-05-26
PAY0000487,ORD0000487,UPI/Pix,157.98,2025-11-04
PAY0000488,ORD0000488,Debit Card,118.61,2024-02-23
PAY0000489,ORD0000489,Credit Card,539.8,2024-08-14
PAY0000490,ORD0000490,Wallet,492.4,2024-06-22
PAY0000491,ORD0000491,Credit Card,2224.44,2026-05-01
PAY0000492,ORD0000492,Credit Card,511.1,2025-04-28
PAY0000494,ORD0000494,Credit Card,681.19,2026-04-09
PAY0000495,ORD0000495,Wallet,948.08,2026-06-24
PAY0000496,ORD0000496,Debit Card,560.55,2025-12-27
PAY0000497,ORD0000497,Wallet,448.13,2025-02-07
PAY0000498,ORD0000498,Credit Card,496.42,2026-06-19
PAY0000499,ORD0000499,UPI/Pix,840.48,2025-11-06
PAY0000500,ORD0000500,Credit Card,1582.91,2026-06-25
PAY0000501,ORD0000501,Credit Card,686.14,2025-01-15
PAY0000502,ORD0000502,Debit Card,432.38,2026-02-02
PAY0000503,ORD0000503,Credit Card,345.46,2025-05-10
PAY0000504,ORD0000504,Credit Card,671.03,2025-11-18
PAY0000505,ORD0000505,Debit Card,122.97,2025-11-21
PAY0000506,ORD0000506,COD,417.79,2024-11-09
PAY0000507,ORD0000507,UPI/Pix,729.92,2026-05-14
PAY0000508,ORD0000508,Wallet,413.6,2026-03-21
PAY0000509,ORD0000509,Debit Card,603.24,2024-07-14
PAY0000510,ORD0000510,Credit Card,473.94,2026-03-31
PAY0000511,ORD0000511,Credit Card,1259.61,2025-08-19
PAY0000512,ORD0000512,Credit Card,1019.26,2026-01-28
PAY0000513,ORD0000513,Credit Card,122.76,2024-11-17
PAY0000514,ORD0000514,Debit Card,743.03,2026-06-28
PAY0000515,ORD0000515,UPI/Pix,359.88,2025-07-07
PAY0000516,ORD0000516,Credit Card,214.64,2026-02-08
PAY0000519,ORD0000519,Wallet,1036.44,2025-11-23
PAY0000520,ORD0000520,UPI/Pix,425.09,2025-09-05
