order_item_id,order_id,product_id,quantity,unit_price,line_total
ITEM00000083,ORD0000056,PROD00640,1,192.72,192.72
ITEM00000084,ORD0000057,PROD00897,1,47.57,47.57
ITEM00000085,ORD0000058,PROD00344,1,202.0,202.0
ITEM00000086,ORD0000059,PROD00334,1,237.02,237.02
ITEM00000087,ORD0000060,PROD00170,1,411.71,411.71
ITEM00000088,ORD0000060,PROD00042,1,248.43,248.43
ITEM00000089,ORD0000060,PROD01174,2,507.69,1015.38
ITEM00000090,ORD0000061,PROD00160,1,476.84,476.84
ITEM00000091,ORD0000062,PROD00923,1,374.92,374.92
ITEM00000092,ORD0000063,PROD00516,1,476.52,476.52
ITEM00000093,ORD0000064,PROD00888,1,550.57,550.57
ITEM00000094,ORD0000064,PROD00060,1,15.51,15.51
ITEM00000095,ORD0000065,PROD00299,1,284.13,284.13
ITEM00000096,ORD0000066,PROD01087,1,469.79,469.79
ITEM00000097,ORD0000067,PROD00329,1,329.91,329.91
ITEM00000098,ORD0000068,PROD00654,1,558.22,558.22
ITEM00000099,ORD0000069,PROD00577,1,565.01,565.01
ITEM00000100,ORD0000069,PROD00154,1,300.52,300.52
ITEM00000101,ORD0000070,PROD01169,1,168.07,168.07
ITEM00000102,ORD0000070,PROD00161,1,489.28,489.28
ITEM00000103,ORD0000071,PROD01105,1,182.9,182.9
ITEM00000104,ORD0000072,PROD00060,1,15.51,15.51
ITEM00000105,ORD0000073,PROD00963,1,417.79,417.79
ITEM00000106,ORD0000073,PROD00348,1,58.31,58.31
ITEM00000107,ORD0000074,PROD00522,1,232.13,232.13
ITEM00000108,ORD0000074,PROD00527,1,313.69,313.69
ITEM00000109,ORD0000075,PROD00861,1,217.2,217.2
ITEM00000110,ORD0000076,PROD00220,1,281.16,281.16
ITEM00000111,ORD0000076,PROD00664,1,386.28,386.28
ITEM00000112,ORD0000076,PROD00210,1,42.63,42.63
ITEM00000113,ORD0000077,PROD00403,1,306.77,306.77
ITEM00000114,ORD0000078,PROD00428,1,111.31,111.31
ITEM00000115,ORD0000078,PROD01183,1,583.02,583.02
ITEM00000116,ORD0000079,PROD00905,1,815.41,815.41
ITEM00000117,ORD0000079,PROD00724,1,613.85,613.85
ITEM00000118,ORD0000080,PROD00142,1,430.86,430.86
ITEM00000119,ORD0000080,PROD00125,1,390.14,390.14
ITEM00000120,ORD0000081,PROD00751,1,45.87,45.87
ITEM00000121,ORD0000082,PROD01179,1,251.49,251.49
ITEM00000122,ORD0000082,PROD00054,3,295.19,885.57
ITEM00000123,ORD0000083,PROD00687,2,350.37,700.74
ITEM00000124,ORD0000084,PROD00002,1,529.62,529.62
ITEM00000125,ORD0000084,PROD00336,1,195.54,195.54
ITEM00000126,ORD0000085,PROD00232,2,122.96,245.92
ITEM00000127,ORD0000086,PROD00504,1,192.83,192.83
ITEM00000128,ORD0000087,PROD00033,1,154.22,154.22
ITEM00000129,ORD0000087,PROD00576,1,92.28,92.28
ITEM00000130,ORD0000088,PROD00969,1,178.65,178.65
ITEM00000131,ORD0000088,PROD00517,1,154.32,154.32
ITEM00000132,ORD0000088,PROD00573,1,371.14,371.14
ITEM00000133,ORD0000089,PROD00345,1,476.44,476.44
ITEM00000134,ORD0000089,PROD00693,1,103.79,103.79
ITEM00000135,ORD0000090,PROD00246,1,387.64,387.64
ITEM00000136,ORD0000091,PROD00851,1,105.08,105.08
ITEM00000137,ORD0000091,PROD00526,1,654.31,654.31
ITEM00000138,ORD0000092,PROD00401,1,425.3,425.3
ITEM00000139,ORD0000092,PROD00991,1,522.47,522.47
ITEM00000140,ORD0000093,PROD00658,1,174.96,174.96
ITEM00000141,ORD0000094,PROD00059,1,420.44,420.44
ITEM00000142,ORD0000095,PROD00898,1,142.95,142.95
ITEM00000143,ORD0000096,PROD00530,1,566.51,566.51
ITEM00000144,ORD0000097,PROD00893,1,396.23,396.23
ITEM00000145,ORD0000097,PROD00301,1,293.94,293.94
ITEM00000146,ORD0000097,PROD01003,1,569.16,569.16
ITEM00000147,ORD0000098,PROD00618,1,204.97,204.97
ITEM00000148,ORD0000099,PROD00070,2,91.46,182.92
ITEM00000149,ORD0000100,PROD00159,2,22.96,45.92
ITEM00000150,ORD0000101,PROD00358,1,283.28,283.28
ITEM00000151,ORD0000101,PROD00569,1,12.29,12.29
ITEM00000152,ORD0000102,PROD00213,2,291.01,582.02
ITEM00000153,ORD0000102,PROD00257,1,269.04,269.04
ITEM00000154,ORD0000103,PROD00738,1,308.26,308.26
ITEM00000155,ORD0000104,PROD00786,2,296.11,592.22
ITEM00000156,ORD0000104,PROD00511,1,180.6,180.6
ITEM00000157,ORD0000104,PROD00778,1,205.16,205.16
ITEM00000158,ORD0000105,PROD00921,2,245.73,491.46
ITEM00000159,ORD0000106,PROD00817,1,94.14,94.14
ITEM00000160,ORD0000107,PROD00029,1,179.94,179.94
ITEM00000161,ORD0000107,PROD00451,1,302.34,302.34
ITEM00000162,ORD0000108,PROD00417,1,281.99,281.99
ITEM00000163,ORD0000109,PROD00106,1,175.41,175.41
ITEM00000164,ORD0000109,PROD00743,1,362.71,362.71
ITEM00000165,ORD0000110,PROD01128,1,307.14,307.14
ITEM00000166,ORD0000111,PROD00814,1,330.33,330.33
ITEM00000167,ORD0000111,PROD00341,3,489.17,1467.51
ITEM00000168,ORD0000112,PROD00381,1,30.17,30.17
ITEM00000169,ORD0000113,PROD00075,1,301.19,301.19
ITEM00000170,ORD0000113,PROD00329,1,329.91,329.91
ITEM00000171,ORD0000113,PROD00001,1,54.58,54.58
ITEM00000172,ORD0000113,PROD00132,1,458.06,458.06
ITEM00000173,ORD0000114,PROD00853,1,279.28,279.28
ITEM00000174,ORD0000114,PROD00433,1,93.7,93.7
ITEM00000175,ORD0000114,PROD00385,1,644.54,644.54
ITEM00000176,ORD0000114,PROD00643,1,637.65,637.65
ITEM00000177,ORD0000115,PROD00166,1,513.92,513.92
ITEM00000178,ORD0000116,PROD00308,1,543.09,543.09
ITEM00000179,ORD0000117,PROD00896,1,621.48,621.48
ITEM00000180,ORD0000117,PROD00440,2,45.86,91.72
ITEM00000181,ORD0000118,PROD00111,1,197.33,197.33
ITEM00000182,ORD0000118,PROD00900,1,118.72,118.72
ITEM00000183,ORD0000119,PROD00122,1,178.93,178.93
ITEM00000184,ORD0000119,PROD00960,1,503.9,503.9
ITEM00000185,ORD0000120,PROD00470,1,295.69,295.69
ITEM00000186,ORD0000121,PROD00005,1,584.65,584.65
ITEM00000187,ORD0000122,PROD00886,1,377.54,377.54
ITEM00000188,ORD0000122,PROD00660,1,332.75,332.75
ITEM00000189,ORD0000123,PROD01002,1,214.1,214.1
ITEM00000190,ORD0000123,PROD00298,1,279.33,279.33
ITEM00000191,ORD0000123,PROD00029,1,179.94,179.94
ITEM00000192,ORD0000124,PROD00832,3,228.78,686.34
ITEM00000193,ORD0000124,PROD01034,1,371.16,371.16
ITEM00000194,ORD0000125,PROD00152,1,137.25,137.25
ITEM00000195,ORD0000125,PROD00621,1,704.7,704.7
ITEM00000196,ORD0000126,PROD00566,1,302.4,302.4
ITEM00000197,ORD0000126,PROD00010,1,400.23,400.23
ITEM00000198,ORD0000126,PROD00070,1,91.46,91.46
ITEM00000199,ORD0000127,PROD01114,1,485.97,485.97
ITEM00000200,ORD0000127,PROD00976,1,329.6,329.6
ITEM00000201,ORD0000128,PROD00477,1,269.81,269.81
ITEM00000202,ORD0000129,PROD00891,1,494.31,494.31
ITEM00000203,ORD0000130,PROD00428,1,111.31,111.31
ITEM00000204,ORD0000131,PROD00628,1,425.09,425.09
ITEM00000205,ORD0000132,PROD00823,2,342.49,684.98
ITEM00000206,ORD0000132,PROD00017,1,77.77,77.77
ITEM00000207,ORD0000132,PROD00835,1,455.73,455.73
ITEM00000208,ORD0000133,PROD00123,1,387.17,387.17
ITEM00000209,ORD0000133,PROD00786,1,296.11,296.11
ITEM00000210,ORD0000133,PROD00724,1,613.85,613.85
ITEM00000211,ORD0000134,PROD00881,1,223.34,223.34
ITEM00000212,ORD0000135,PROD00507,1,459.3,459.3
ITEM00000213,ORD0000135,PROD00992,1,74.91,74.91
ITEM00000214,ORD0000136,PROD00396,1,104.02,104.02
ITEM00000215,ORD0000137,PROD00608,1,19.19,19.19
ITEM00000216,ORD0000138,PROD00119,1,94.13,94.13
ITEM00000217,ORD0000139,PROD00336,1,195.54,195.54
ITEM00000218,ORD0000140,PROD00603,1,602.69,602.69
ITEM00000219,ORD0000141,PROD00669,1,170.29,170.29
ITEM00000220,ORD0000142,PROD00692,1,379.79,379.79
ITEM00000221,ORD0000143,PROD00789,1,155.47,155.47
ITEM00000222,ORD0000144,PROD01121,1,73.17,73.17
ITEM00000223,ORD0000145,PROD00203,1,141.83,141.83
ITEM00000224,ORD0000146,PROD00080,1,76.2,76.2
ITEM00000225,ORD0000147,PROD00010,1,400.23,400.23
ITEM00000226,ORD0000148,PROD01098,1,341.09,341.09
ITEM00000227,ORD0000148,PROD00901,1,464.69,464.69
ITEM00000228,ORD0000148,PROD00244,3,615.93,1847.79
ITEM00000229,ORD0000148,PROD00794,1,142.62,142.62
ITEM00000230,ORD0000149,PROD00790,1,633.08,633.08
ITEM00000231,ORD0000149,PROD01171,1,258.19,258.19
ITEM00000232,ORD0000149,PROD00153,1,327.68,327.68
ITEM00000233,ORD0000149,PROD00061,1,330.26,330.26
ITEM00000234,ORD0000150,PROD00932,1,93.35,93.35
ITEM00000235,ORD0000151,PROD00487,1,735.66,735.66
ITEM00000236,ORD0000151,PROD01062,1,503.64,503.64
ITEM00000237,ORD0000151,PROD00558,1,589.74,589.74
ITEM00000238,ORD0000151,PROD00240,1,461.71,461.71
ITEM00000239,ORD0000152,PROD01058,1,552.61,552.61
ITEM00000240,ORD0000153,PROD00763,1,244.73,244.73
ITEM00000241,ORD0000154,PROD00973,1,91.51,91.51
ITEM00000242,ORD0000155,PROD00347,1,283.32,283.32
ITEM00000243,ORD0000156,PROD01040,1,216.65,216.65
ITEM00000244,ORD0000156,PROD00093,1,368.81,368.81
ITEM00000245,ORD0000157,PROD00985,1,464.45,464.45
ITEM00000246,ORD0000158,PROD00728,1,563.26,563.26
ITEM00000247,ORD0000159,PROD00527,1,313.69,313.69
ITEM00000248,ORD0000160,PROD00797,1,447.08,447.08
ITEM00000249,ORD0000161,PROD00234,2,515.32,1030.64
ITEM00000250,ORD0000161,PROD01109,1,280.51,280.51
ITEM00000251,ORD0000162,PROD00674,1,389.51,389.51
ITEM00000252,ORD0000162,PROD00920,1,379.96,379.96
ITEM00000253,ORD0000163,PROD00517,1,154.32,154.32
ITEM00000254,ORD0000164,PROD00453,1,147.63,147.63
ITEM00000255,ORD0000164,PROD00997,1,28.19,28.19
ITEM00000256,ORD0000164,PROD00817,2,94.14,188.28
ITEM00000257,ORD0000164,PROD00610,1,523.54,523.54
ITEM00000258,ORD0000165,PROD01186,3,218.43,655.29
ITEM00000259,ORD0000165,PROD00148,1,313.99,313.99
ITEM00000260,ORD0000166,PROD00910,1,253.4,253.4
ITEM00000261,ORD0000166,PROD00297,1,146.42,146.42
ITEM00000262,ORD0000167,PROD01056,2,496.42,992.84
ITEM00000263,ORD0000167,PROD00576,1,92.28,92.28
ITEM00000264,ORD0000167,PROD00085,1,168.53,168.53
ITEM00000265,ORD0000168,PROD00223,1,626.59,626.59
ITEM00000266,ORD0000168,PROD00286,1,413.67,413.67
ITEM00000267,ORD0000169,PROD00863,1,166.66,166.66
ITEM00000268,ORD0000170,PROD00842,1,296.51,296.51
ITEM00000269,ORD0000171,PROD00898,1,142.95,142.95
ITEM00000270,ORD0000172,PROD00150,1,201.21,201.21
ITEM00000271,ORD0000172,PROD00304,1,389.22,389.22
ITEM00000272,ORD0000173,PROD00395,2,577.99,1155.98
ITEM00000273,ORD0000173,PROD00125,2,390.14,780.28
ITEM00000274,ORD0000174,PROD00925,1,233.62,233.62
ITEM00000275,ORD0000174,PROD01199,1,598.82,598.82
ITEM00000276,ORD0000175,PROD00810,1,386.77,386.77
ITEM00000277,ORD0000176,PROD00997,1,28.19,28.19
ITEM00000278,ORD0000176,PROD01067,1,107.62,107.62
ITEM00000279,ORD0000177,PROD00975,1,474.04,474.04
ITEM00000280,ORD0000178,PROD00123,3,387.17,1161.51
ITEM00000281,ORD0000178,PROD00284,1,444.87,444.87
ITEM00000282,ORD0000178,PROD00092,1,246.08,246.08
ITEM00000283,ORD0000178,PROD00678,1,130.7,130.7
ITEM00000284,ORD0000179,PROD00149,1,620.0,620.0
ITEM00000285,ORD0000180,PROD00077,2,52.37,104.74
ITEM00000286,ORD0000180,PROD00378,1,71.88,71.88
ITEM00000287,ORD0000181,PROD00682,1,129.34,129.34
ITEM00000288,ORD0000181,PROD00011,2,325.04,650.08
ITEM00000289,ORD0000182,PROD00130,1,535.37,535.37
ITEM00000290,ORD0000182,PROD00530,1,566.51,566.51
ITEM00000291,ORD0000182,PROD01194,1,546.22,546.22
ITEM00000292,ORD0000183,PROD00470,2,295.69,591.38
ITEM00000293,ORD0000184,PROD00763,1,244.73,244.73
ITEM00000294,ORD0000184,PROD00246,1,387.64,387.64
ITEM00000295,ORD0000184,PROD00124,1,242.8,242.8
ITEM00000296,ORD0000184,PROD01063,1,249.56,249.56
ITEM00000297,ORD0000185,PROD00174,1,270.07,270.07
ITEM00000298,ORD0000185,PROD00061,1,330.26,330.26
ITEM00000299,ORD0000185,PROD01070,1,84.0,84.0
ITEM00000300,ORD0000185,PROD00363,1,480.0,480.0
ITEM00000301,ORD0000186,PROD00382,1,826.51,826.51
ITEM00000302,ORD0000187,PROD00505,2,172.61,345.22
ITEM00000303,ORD0000188,PROD00335,1,273.43,273.43
ITEM00000304,ORD0000188,PROD00947,1,678.71,678.71
ITEM00000305,ORD0000189,PROD00666,1,100.49,100.49
ITEM00000306,ORD0000190,PROD01130,1,361.6,361.6
ITEM00000307,ORD0000190,PROD00041,3,102.49,307.47
ITEM00000308,ORD0000191,PROD00161,1,489.28,489.28
ITEM00000309,ORD0000191,PROD01140,1,167.18,167.18
ITEM00000310,ORD0000192,PROD00787,3,560.55,1681.65
ITEM00000311,ORD0000193,PROD00056,1,233.2,233.2
ITEM00000312,ORD0000194,PROD01191,1,205.38,205.38
ITEM00000313,ORD0000195,PROD00411,1,329.15,329.15
ITEM00000314,ORD0000196,PROD00511,1,180.6,180.6
ITEM00000315,ORD0000196,PROD00937,2,394.01,788.02
ITEM00000316,ORD0000196,PROD00907,1,48.03,48.03
ITEM00000317,ORD0000196,PROD00752,1,316.24,316.24
ITEM00000318,ORD0000197,PROD00286,1,413.67,413.67
ITEM00000319,ORD0000198,PROD00897,1,47.57,47.57
ITEM00000320,ORD0000198,PROD00034,2,459.09,918.18
ITEM00000321,ORD0000198,PROD01104,2,412.04,824.08
ITEM00000322,ORD0000199,PROD01045,1,130.23,130.23
ITEM00000323,ORD0000200,PROD00737,1,262.11,262.11
ITEM00000324,ORD0000201,PROD00513,1,120.53,120.53
ITEM00000325,ORD0000202,PROD01052,1,71.16,71.16
ITEM00000326,ORD0000202,PROD01028,1,302.31,302.31
ITEM00000327,ORD0000203,PROD00959,1,19.68,19.68
ITEM00000328,ORD0000204,PROD00557,1,68.72,68.72
ITEM00000329,ORD0000204,PROD00769,2,370.96,741.92
ITEM00000330,ORD0000205,PROD00811,2,441.02,882.04
ITEM00000331,ORD0000205,PROD00182,1,244.18,244.18
ITEM00000332,ORD0000206,PROD00273,1,413.61,413.61
ITEM00000333,ORD0000207,PROD01079,1,494.74,494.74
ITEM00000334,ORD0000207,PROD00763,1,244.73,244.73
ITEM00000335,ORD0000208,PROD00330,3,60.2,180.6
ITEM00000336,ORD0000208,PROD00873,1,75.12,75.12
ITEM00000337,ORD0000209,PROD00202,1,513.24,513.24
ITEM00000338,ORD0000209,PROD00568,1,458.38,458.38
ITEM00000339,ORD0000209,PROD00828,1,189.09,189.09
ITEM00000340,ORD0000209,PROD00998,1,166.56,166.56
ITEM00000341,ORD0000210,PROD00566,1,302.4,302.4
ITEM00000342,ORD0000211,PROD00269,1,650.36,650.36
ITEM00000343,ORD0000212,PROD00914,2,425.62,851.24
ITEM00000344,ORD0000213,PROD00617,1,86.21,86.21
ITEM00000345,ORD0000214,PROD00088,1,97.79,97.79
ITEM00000346,ORD0000215,PROD00265,1,127.79,127.79
ITEM00000347,ORD0000215,PROD00676,1,44.73,44.73
ITEM00000348,ORD0000216,PROD00343,1,499.38,499.38
ITEM00000349,ORD0000217,PROD00848,1,411.8,411.8
ITEM00000350,ORD0000218,PROD00006,1,508.86,508.86
ITEM00000351,ORD0000219,PROD00459,1,93.24,93.24
ITEM00000352,ORD0000220,PROD00590,1,532.64,532.64
ITEM00000353,ORD0000221,PROD01131,1,173.51,173.51
ITEM00000354,ORD0000222,PROD00782,1,78.0,78.0
ITEM00000355,ORD0000223,PROD00634,2,143.92,287.84
ITEM00000356,ORD0000224,PROD00451,1,302.34,302.34
ITEM00000357,ORD0000224,PROD00898,1,142.95,142.95
ITEM00000358,ORD0000225,PROD00159,1,22.96,22.96
ITEM00000359,ORD0000226,PROD00208,1,427.61,427.61
ITEM00000360,ORD0000226,PROD00115,1,500.35,500.35
ITEM00000361,ORD0000227,PROD00433,1,93.7,93.7
ITEM00000362,ORD0000228,PROD01013,1,575.52,575.52
ITEM00000363,ORD0000228,PROD00058,1,176.95,176.95
ITEM00000364,ORD0000229,PROD00218,2,238.26,476.52
ITEM00000365,ORD0000230,PROD01174,1,507.69,507.69
ITEM00000366,ORD0000230,PROD00521,1,383.39,383.39
ITEM00000367,ORD0000231,PROD00606,1,421.7,421.7
ITEM00000368,ORD0000231,PROD00859,1,77.05,77.05
ITEM00000369,ORD0000232,PROD01159,1,241.34,241.34
ITEM00000370,ORD0000233,PROD00142,1,430.86,430.86
ITEM00000371,ORD0000233,PROD00971,1,399.67,399.67
ITEM00000372,ORD0000233,PROD00871,1,302.28,302.28
ITEM00000373,ORD0000233,PROD00558,2,589.74,1179.48
ITEM00000374,ORD0000234,PROD00349,1,438.29,438.29
ITEM00000375,ORD0000234,PROD00657,1,49.03,49.03
ITEM00000376,ORD0000235,PROD00906,1,234.12,234.12
ITEM00000377,ORD0000235,PROD01195,1,99.37,99.37
ITEM00000378,ORD0000236,PROD00493,2,48.23,96.46
ITEM00000379,ORD0000236,PROD00852,1,563.12,563.12
ITEM00000380,ORD0000237,PROD00873,1,75.12,75.12
ITEM00000381,ORD0000238,PROD00382,1,826.51,826.51
ITEM00000382,ORD0000239,PROD00877,1,312.15,312.15
ITEM00000383,ORD0000240,PROD00561,1,571.14,571.14
ITEM00000384,ORD0000241,PROD01040,3,216.65,649.95
ITEM00000385,ORD0000242,PROD00309,1,20.34,20.34
ITEM00000386,ORD0000243,PROD00474,1,660.48,660.48
ITEM00000387,ORD0000244,PROD00670,1,55.1,55.1
ITEM00000388,ORD0000245,PROD00610,1,523.54,523.54
ITEM00000389,ORD0000246,PROD00639,3,444.35,1333.05
ITEM00000390,ORD0000247,PROD01166,1,85.81,85.81
ITEM00000391,ORD0000247,PROD00944,1,655.71,655.71
ITEM00000392,ORD0000248,PROD00793,2,402.06,804.12
ITEM00000393,ORD0000248,PROD00044,1,293.54,293.54
ITEM00000394,ORD0000249,PROD00175,1,392.78,392.78
ITEM00000395,ORD0000249,PROD00017,1,77.77,77.77
ITEM00000396,ORD0000250,PROD00516,2,476.52,953.04
ITEM00000397,ORD0000251,PROD00181,1,245.72,245.72
ITEM00000398,ORD0000252,PROD01136,1,168.28,168.28
ITEM00000399,ORD0000252,PROD01188,3,125.78,377.34
ITEM00000400,ORD0000253,PROD00317,1,33.26,33.26
ITEM00000401,ORD0000253,PROD00976,2,329.6,659.2
ITEM00000402,ORD0000254,PROD01164,1,169.22,169.22
ITEM00000403,ORD0000255,PROD00078,1,82.29,82.29
ITEM00000404,ORD0000256,PROD01020,1,571.35,571.35
ITEM00000405,ORD0000257,PROD00265,1,127.79,127.79
ITEM00000406,ORD0000258,PROD00124,1,242.8,242.8
ITEM00000407,ORD0000259,PROD00298,1,279.33,279.33
ITEM00000408,ORD0000259,PROD00134,1,296.41,296.41
ITEM00000409,ORD0000260,PROD00322,1,214.88,214.88
ITEM00000410,ORD0000261,PROD00193,1,86.39,86.39
ITEM00000411,ORD0000262,PROD00363,1,480.0,480.0
ITEM00000412,ORD0000262,PROD00678,1,130.7,130.7
ITEM00000413,ORD0000263,PROD00330,1,60.2,60.2
ITEM00000414,ORD0000264,PROD00727,1,178.3,178.3
ITEM00000415,ORD0000265,PROD00832,1,228.78,228.78
ITEM00000416,ORD0000266,PROD00488,1,489.86,489.86
ITEM00000417,ORD0000267,PROD00756,1,333.84,333.84
ITEM00000418,ORD0000268,PROD00668,1,185.1,185.1
ITEM00000419,ORD0000269,PROD00922,2,307.75,615.5
ITEM00000420,ORD0000270,PROD00813,1,356.78,356.78
ITEM00000421,ORD0000271,PROD00563,1,31.94,31.94
ITEM00000422,ORD0000272,PROD01159,1,241.34,241.34
ITEM00000423,ORD0000272,PROD00486,3,299.63,898.89
ITEM00000424,ORD0000273,PROD00466,3,175.71,527.13
ITEM00000425,ORD0000274,PROD00639,2,444.35,888.7
ITEM00000426,ORD0000275,PROD00772,3,123.24,369.72
ITEM00000427,ORD0000275,PROD00477,1,269.81,269.81
ITEM00000428,ORD0000276,PROD00279,1,539.19,539.19
ITEM00000429,ORD0000276,PROD00227,1,223.39,223.39
ITEM00000430,ORD0000276,PROD00012,1,220.05,220.05
ITEM00000431,ORD0000276,PROD00767,1,346.92,346.92
ITEM00000432,ORD0000277,PROD00292,1,562.82,562.82
ITEM00000433,ORD0000277,PROD00111,1,197.33,197.33
ITEM00000434,ORD0000278,PROD00109,1,490.86,490.86
ITEM00000435,ORD0000279,PROD01159,1,241.34,241.34
ITEM00000436,ORD0000279,PROD00371,1,210.76,210.76
ITEM00000437,ORD0000279,PROD00487,1,735.66,735.66
ITEM00000438,ORD0000280,PROD00577,1,565.01,565.01
ITEM00000439,ORD0000281,PROD00743,1,362.71,362.71
ITEM00000440,ORD0000282,PROD00716,1,371.7,371.7
ITEM00000441,ORD0000282,PROD00832,1,228.78,228.78
ITEM00000442,ORD0000283,PROD00487,1,735.66,735.66
ITEM00000443,ORD0000284,PROD01085,1,242.05,242.05
ITEM00000444,ORD0000285,PROD00653,1,126.1,126.1
ITEM00000445,ORD0000286,PROD00612,1,33.42,33.42
ITEM00000446,ORD0000286,PROD00817,2,94.14,188.28
ITEM00000447,ORD0000287,PROD01127,1,51.56,51.56
ITEM00000448,ORD0000288,PROD00438,1,70.4,70.4
ITEM00000449,ORD0000289,PROD00211,1,540.04,540.04
